CDCURSO,CDPROREITORIA,CDDISCIPL,QTCREDITO,CDRELACIOMTO,CDDISCIPLPRE,QTCREDITOPRE,TIPO
98AJ,3,4611E,04,1,95303,04,0
98AJ,3,4611F,04,1,4611C,06,0
98AJ,3,4611G,04,1,95304,04,0
98AJ,3,4636H,04,1,4611F,04,0
98AJ,3,4645G,04,1,4611C,06,0
98AJ,3,4645H,04,1,4645G,04,0
98AJ,3,4646I,04,1,98700,04,0
98AJ,3,4646M,04,1,4611E,04,0
98AJ,3,4646N,04,1,95302,04,0
98AJ,3,4646X,04,1,98716,04,0
98AJ,3,4646Z,04,1,4645H,04,0
98AJ,3,4647A,04,1,98709,04,0
98AJ,3,98701,04,1,4611C,06,0
98AJ,3,98701,04,1,4646B,04,0
98AJ,3,98702,04,1,98707,02,0
98AJ,3,98706,04,1,98708,04,0
98AJ,3,98708,04,1,4611E,04,0
98AJ,3,98708,04,1,4645H,04,0
98AJ,3,98709,04,1,98700,04,0
98AJ,3,98713,04,1,4611F,04,0
98AJ,3,98713,04,1,46515,04,0
98AJ,3,98714,02,1,98711,02,0
98AJ,3,98715,04,1,4646Z,04,0
98AJ,3,98716,04,1,98701,04,0
98AJ,3,98802,02,1,98801,04,0
98AJ,3,98902,02,1,98901,04,0
98AJ,3,98905,04,1,98801,04,0
98AJ,3,98G03,04,1,4646B,04,0
98AJ,3,98H00,04,1,98902,02,0
98AJ,3,98710,02,1,98709,04,1
98AJ,3,98801,04,1,4636H,04,1
98AJ,3,4645J,04,1,4646I,04,2
98AJ,3,4645K,04,1,46515,04,2
98AJ,3,4645K,04,1,98G03,04,2
98AJ,3,4646B,04,1,98705,02,2
98AJ,3,4646N,04,1,95301,04,2
98AJ,3,4647B,04,1,98709,04,2
98AJ,3,4647F,04,1,46515,04,2
98AJ,3,46515,04,1,95303,04,2
98AJ,3,95301,04,1,95300,04,2
98AJ,3,95304,04,1,95301,04,2
98AJ,3,98700,04,1,98713,04,2
98AJ,3,98700,04,1,98G03,04,2
98AJ,3,98703,02,1,4611E,04,2
98AJ,3,98704,04,1,98802,02,2
