cod;creditos;disciplina
254DX;02;Adm. da Informação
4645G;04;Algoritmos e Estr. de Dados I
4645H;04;Algoritmos e Estr. de Dados II
98706;04;Aprendizado de Máquina
98G05;04;Arq. e Org. de Computadores
46535;00;Atividades Compl. (110h)
980P0;00;Atividades Compl. (120h)
98901;04;Banco de Dados I
98902;02;Banco de Dados II
98H01;04;Coleta, Prep. e Análise de Dados
98716;04;Computação Gráfica
4645J;04;Computação Paralela
4645K;04;Constr. de Compiladores
95300;04;Cálculo I
95301;04;Cálculo II
4645L;10;Disc. Eletiva
4645R;02;Disc. Integr. III (Constr. de Sist.)
4645T;02;Disc. Integr. IV (Trab. Conclusão)
4645P;02;Disc. Integr. I (Lógica e Progr.)
4645Q;02;Disc. Integr. II (Inic. Cient.)
980E2;12;Disc. Eletivas
2540L;04;Empreend. Empresariais
4645U;04;Eng. de Software
98801;04;Eng. de Software I
98802;02;Eng. de Software II
4645X;04;Eng. de Software Orient. a Modelos
98907;02;Eng. e Gestão do Conhec.
98905;04;Experiência do Usuário
4645Y;04;Fund. de Banco de Dados
4645Z;04;Fund. de Computação Gráfica
4636H;04;Fund. de Desenv. de Software
4646A;04;Fund. de Intelig. Artificial
98713;04;Fund. de Process. Paralelo e Distrib.
4611C;06;Fund. de Programação
98709;04;Fund. de Redes de Computadores
4646B;04;Fund. de Sist. Digitais
4636M;02;Gerência de Redes de Comp.
11521;04;Humanismo e Cult. Religiosa
4646D;04;Implement. de Sist. de Banco de Dados
4636N;04;Infraestr. de Tecnologia da Inform.
98H00;04;Infraestr. para Gestão de Dados
98708;04;Inteligência Artificial
4646E;04;Interpret. de Linguagens de Progr.
4646F;04;Introd. à Ciência da Comput.
4646G;04;Introd. à Redes de Comput.
98705;02;Introdução à Computação
12297;04;Lab. de Games e Narrativas Gráficas
4646H;02;Lab. de Redes de Comput.
98710;02;Lab. de Redes de Comput.
4646I;04;Lab. de Sist. Operacionais
4646J;04;Linguagens Formais e Autômatos
46515;04;Linguagens, Autômatos e Comp.
15015;04;Lógica I
4611E;04;Lógica para Computação
4646K;04;Matemática Concreta
95303;04;Matemática Discreta
46517;02;Melhoria de Processos de Software
4646L;04;Metodol. Cient. e Escrita para Comp.
98707;02;Metodologia Científica
4646P;02;Modelos para Comp. Concorrente
4646M;04;Métodos Formais para Comput.
4646N;04;Métodos Numéricos
98G03;04;Org. e Arq. de Processadores
4646Q;04;Org. e Arq. de Computadores I
4646R;04;Org. e Arq. de Computadores II
95304;04;Probabilidade e Estatística
4646T;02;Progr. de Baixo Nível
98701;04;Progr. de Baixo Nível
4637B;04;Progr. de Software Aplicado
98703;02;Progr. Funcional
4646U;04;Progr. Funcional
4611F;04;Progr. Orient. a Objetos
4646X;04;Proj. de Desenvolv. de Jogos
4646Y;04;Proj. e Impl. de Sist. Interativos
4646Z;04;Proj. e Otimiz. de Algoritmos
98704;04;Prática em Eng. de Software
98702;04;Prática em Pesquisa
46524;04;Prática na AGES III (120h)
13397;02;Psicol. e Gestão de Pessoas em TI
4647A;04;Redes de Comp. Avançados
98715;04;Segurança de Sistemas
4611G;04;Simulação e Métodos Analíticos
4620J;04;Sist. de Tempo Real
98G02;04;Sist. Digitais
4647B;04;Sist. Distribuídos
4647C;04;Sist. Inteligentes Autônomos
4647D;04;Sist. Operacionais
98700;04;Sist. Operacionais
4647F;04;Teoria da Computab. e Complexidade
98711;02;Trabalho de Conclusão I
98714;02;Trabalho de Conclusão II
4647E;04;Técnicas de Programação
95302;04;Álgebra Linear e Geom. Analítica
1501A;04;Ética e Cidadania
