ICAO AERONAVE;IATA AERONAVE;MODELO AERONAVER;AERONAVE CRÍTICA
A124;A4F;ANTONOV AN-124 RUSLAN;N/I
A20N;32N;AIRBUS A320NEO;N/I
A21N;32Q;AIRBUS A321NEO;N/I
A225;A5F;ANTONOV AN-225;N/I
A30B;AB4,ABF,AB3,ABX;AIRBUS A300 B2/B4/C4/F4/FREIGHTER;N/I
A318;318;AIRBUS A318;3C
A319;319;AIRBUS A319;4C
A320;320,325,32A,32F,32R,32X;AIRBUS A320-100/200;4C
A321;321,32B;AIRBUS A321-100/200;4C
A330;330;AIRBUS A330 ALL MODELS;4E
A332;332,33F,33X;AIRBUS A330-200;4E
A333;333;AIRBUS A330-300;N/I
A339;339;AIRBUS A330-900NEO;N/I
A340;340;AIRBUS A340 ALL MODELS;N/I
A343;343;AIRBUS A340-300;4E
A345;345;AIRBUS A340-500;N/I
A346;346;AIRBUS A340-600;4E
A359;350,351,358,359;AIRBUS A350-900;N/I
A35K;351;AIRBUS A350-1000;N/I
A388;388;AIRBUS A380-800;N/I
A3ST;ABB;AIRBUS INDUSTRIE A300-600ST BELUGA FREIGHTER;N/I
AN12;ANF;ANTONOV AN-12;N/I
AN22;A22;ANTONOV AN-22;N/I
AN72;AN7;ANTONOV AN-72 / AN-74;N/I
AT43;AT4,AT3;AEROSPATIALE/ALENIA ATR 42-300 / 320;2C
AT45;AT5;AEROSPATIALE/ALENIA ATR 42-500;2C
AT72;AT7,ATF;AEROSPATIALE/ALENIA ATR 72 201/202;3C
AT76;ATR,AT7;AEROSPATIALE/ALENIA ATR 72-600/72-212A (600) ;N/I
B190;BE1,BEH,BES;BEECHCFRAT 1900/1900C;N/I
B38M;7M8;BOEING 737 MAX 8;N/I
B39M;7M9;BOEING 737 MAX 9;N/I
B722;72Y,722,72C,72S,72A;BOEING 727-200;4C
B732;73M,732,73X,73A,73S;BOEING 737-200;N/I
B733;733,73C;BOEING 737-300;4C
B734;734;BOEING 737-400;N/I
B735;735;BOEING 737-500;N/I
B737;73W,73R,73G;BOEING 737-700;3C
B738;738,73H,73U;BOEING 737-800;4C
B739;739,73J;BOEING 737-900;N/I
B73P;73P;BOEING 737-400 FREIGHTER;N/I
B73Y;73Y;BOEING 737-300 FREIGHTER;N/I
B742;742,74C,74X;BOEING 747-200;N/I
B743;743,74D,74U;BOEING 747-300;N/I
B744;74Y,744,74E,74B,4J;BOEING 747-400;4E
B748;74H,74N;BOEING 747-8;4F
B74F;74F;;4E
B752;752,75F,75M,75W;BOEING 757-200;4D
B762;76X,762;BOEING 767-200;4D
B763;76V,76W,763,76Y,76F;BOEING 767-300;4D
B764;764;BOEING 767-400;4D
B767;76R;;N/I
B772;772,77L;BOEING 777-200/200 ER;4E
B773;773;BOEING 777-300;4E
B778;778;BOEING 777-8;N/I
B77F;77F;BOEING 777 FREIGHTER;4E
B77L;77X;BOEING 777-200 LR/FREIGHTER;N/I
B77W;77W;BOEING 777-300ER PAX;N/I
B783;783;BOEING 787-3 PAX;N/I
B788;788;BOEING 787-8 PAX;N/I
B789;789;BOEING 787-9 PAX;N/I
B78X;781;BOEING 787-10;N/I
BCS1;221;AIRBUS A220-100;N/I
BCS3;223;AIRBUS A220-300;N/I
C130;LOH;LOCKHEED L-182 / 282 / 382 (L-100) HERCULES;N/I
C208;CNC,208;CESSNA 208 CARAVAN;2B
CL60;CCJ;CANADAIR CHALLENGER;N/I
CRJ2;CR2;CANADAIR REGIONAL JET 200;N/I
DC10;D1Y,D10,D11,D1C,D1F,D1M,D1X;DOUGLAS DC-10-30 / 40 FREIGHTERS;4D
DC90;DC9,D91,D92,D93,D94,D95,D9F,D9S;DOUGLAS DC-9 ALL PAX MODELS;N/I
E110;EMB;EMBRAER EMB.110 BANDEIRNATE;N/I
E135;ER3;EMBRAER RJ135;N/I
E140;ERD;EMBRAER RJ140;N/I
E145;ER4;EMBRAER RJ145 AMAZON;3B
E170;E70;EMBRAER 170/ERJ-170-100;3C
E190;E90,EMJ;EMBRAER 190/ERJ-190-100;3C
E195;E95;EMBRAER 195/ERJ-190-200;N/I
E290;290;EMBRAER E190-E2/ERJ-190-300;1A
E295;295;EMBRAER E195-E2/ERJ-190-400;N/I
F070;F70;FOKKER 70;N/I
F50;F50;FOKKER 50;N/I
GLEX;CCX;CANADAIR GLOBAL EXPRESS;N/I
GLF5;N/A;GULFSTREAM V;N/I
IL62;IL6;ILYUSHIN IL62;4D
IL76;IL7;ILYUSHIN IL76;N/I
IL96;I93,I9F,I9M,I9X,I9Y,IL9;ILYUSHIN IL96 PAX;N/I
MD11;M1M,M11,M1F;MCDONNELL DOUGLAS MD11 MIXED CONFIGURATION;4D
MD83;M83;MCDONNELL DOUGLAS MD83;N/I
MD88;M88;MCDONNELL DOUGLAS MD88;N/I
N/I;N/I;NÃO IDENTIFICADO;N/I
RJ70;AR7;AVRO RJ70 AVROLINER;N/I
RJ85;AR8;AVRO RJ85 AVROLINER;N/I
SW4;SWM;FAIRCHILD SWEARINGEN METRO;N/I
T204;T20,T2F;TUPOLEV TU-204 FREIGHTER;N/I
