ICAO OPERADOR AÉREO;IATA OPERADOR AÉREO;NOME OPERADOR AÉREO;PAÍS SEDE
AAL;AA;AMERICAN AIRLINES, INC.;ESTADOS UNIDOS DA AMÉRICA
ABJ;E4;ATA - AEROTÁXI ABAETÉ LTDA.;BRASIL
ACA;AC;AIR CANADA;CANADÁ
ACN;2F;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASIL
AEA;UX;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESPANHA
AFR;AF;SOCIÉTÉ AIR FRANCE;FRANÇA
AMX;AM;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;MÉXICO
ANS;O4;ANDES LINEAS AEREAS;ARGENTINA
ARE;4C;AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.;COLÔMBIA
ARG;AR;AEROLINEAS ARGENTINAS S/A;ARGENTINA
ARN;AN;AERONEXUS CORPORATE;ÁFRICA DO SUL
AVA;AV;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;COLÔMBIA
AZU;AD;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASIL
BAW;BA;BRITISH AIRWAYS PLC;INGLATERRA
BOV;OB;BOA BOLIVIANA DE AVIACIÓN;BOLÍVIA
BPC;BP;BRASPRESS AIR CARGO TRANSPORTES AÉREOS LTDA;BRASIL
CCA;CA;AIR CHINA;CHINA
CKS;K4;KALITTA AIR LLC;ESTADOS UNIDOS DA AMÉRICA
CLX;CV;CARGOLUX AIRLINES INTERNATIONAL S/A;LUXEMBURGO
CMP;CM;COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES);PANAMÁ
CQB;Q1;APUÍ TÁXI AÉREO S/A;BRASIL
DAE;D5;DHL AERO EXPRESO;PANAMÁ
DAL;DL;DELTA AIR LINES INC.;ESTADOS UNIDOS DA AMÉRICA
DLH;LH;DEUTSCHE LUFTHANSA A.G.;ALEMANHA
DTA;DT;TAAG LINHAS AÉREAS DE ANGOLA (ANGOLA AIRLINES);ANGOLA
DWI;DM;ARAJET S.A.;REPÚBLICA DOMINICANA
EAL;2D;EASTERN AIRLINES, LLC;ESTADOS UNIDOS DA AMÉRICA
ETH;ET;ETHIOPIAN AIRLINES GROUP;ETIÓPIA
FBZ;FO;FB LÍNEAS AÉREAS S.A (FLYBONDI);ARGENTINA
FDX;FX;FEDEX - FEDERAL EXPRESS CORPORATION;ESTADOS UNIDOS DA AMÉRICA
GEC;G0;LUFTHANSA CARGO AG;ALEMANHA
GLO;G3;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);BRASIL
GTI;5Y;ATLAS AIR INC;ESTADOS UNIDOS DA AMÉRICA
IBE;IB;IBÉRIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA;ESPANHA
ITY;AZ;ITALIA TRANSPORTO AEREO S.P.A.;ITÁLIA
JAT;JA;JETSMART AIRLINES SPA - CHILE;CHILE
JES;WJ;JETSMART AIRLINES S.A - ARGENTINA;ARGENTINA
KAL;KE;KOREAN AIR LINES CO. LTD.;COREIA DO SUL
KLM;KL;KLM CIA. REAL HOLANDESA DE AVIAÇÃO;FRANÇA
LAN;LA;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);CHILE
LAP;PZ;TRANSPORTE AÉREOS DEL MERCOSUR S.A. (TAM MERCOSUR);PARAGUAI
LPE;LP;LATAM AIRLINES PERU (EX-LAN PERU S.A.);PERU
LVL;LL;FLY LEVEL BARCELONA LH, SL;ESLOVÁQUIA
MAA;M7;AEROTRANSPORTES MAS DE CARGA S.A. DE C.V.;MÉXICO
MSI;M9;MOTOR SICH PUBLIC JOINT STOCK COMPANY;UCRÂNIA
MWM;WD;MODERN TRANSPORTE AEREO DE CARGA S.A;BRASIL
PLS;PL;PLACAR LINHAS AÉREAS S.A.;BRASIL
PUE;PU;PLUS ULTRA LÍNEAS AÉREAS S/A;ESPANHA
QTR;QR;QATAR AIRWAYS GROUP;QATAR
RAM;AT;COMPAGNIE NATIONALE ROYAL AIR MAROC;MARROCOS
RER;0L;SERVICIO AEREO REGIONAL REGAIR AIR LTDA;EQUADOR
SAA;SA;SOUTH AFRICAN AIRWAYS STATE OWNED COMPANY (SOC) LIMITED;ÁFRICA DO SUL
SID;0S;SIDERAL LINHAS AÉREAS LTDA.;BRASIL
SKU;H2;SKY AIRLINE S.A.;CHILE
SKX;H8;SKY AIRLINE PERU S.A.C.;PERU
SLM;PY;SURINAM AIRWAYS LTD;SURINAME
SWR;LX;SWISS INTERNATIONAL AIR LINES LTD.;SUÍÇA
TAM;JJ;TAM LINHAS AÉREAS S.A.;BRASIL
TAP;TP;TAP - TRANSPORTES AÉREOS PORTUGUESES S/A;PORTUGAL
TCV;VR;EMPRESA DE TRANSPORTES AÉREOS DE CABO VERDE - TACV S.A.;CABO VERDE
THY;TK;TURKISH AIRLINES INC;TURQUIA
TPA;QT;TAMPA CARGO S.A.;COLÔMBIA
TSC;TS;AIR TRANSAT A.T. INC DO BRASIL;CANADÁ
TTL;L1;TOTAL LINHAS AÉREAS S.A.;BRASIL
UAE;EK;EMIRATES;EMIRADOS ÁRABES UNIDOS
UAL;UA;UNITED AIRLINES, INC;ESTADOS UNIDOS DA AMÉRICA
UPS;5X;UPS - UNITED PARCEL SERVICE CO.;ESTADOS UNIDOS DA AMÉRICA
USY;XG;USC GMBH;ALEMANHA
WJA;WS;WESTJET AIRLINES LTD;CANADÁ
